Image Name,Number Plate,Date/Time
1.png,RJ14CV0002,2025-04-06 14:05:47
1742393538.8896782_0.38.jpg,uN23C7yorn,2025-04-06 14:05:48
1742393675.001129_0.44.jpg,a1N23,2025-04-06 14:05:48
1742393675.488501_0.43.jpg,7TN23Ip,2025-04-06 14:05:48
1742393675.9579847_0.49.jpg,1N23Ip,2025-04-06 14:05:48
1742393891.1693075_0.44.jpg,a1N23,2025-04-06 14:05:49
1742393891.658667_0.43.jpg,7TN23Ip,2025-04-06 14:05:49
1742393892.2613025_0.49.jpg,1N23Ip,2025-04-06 14:05:49
1742395619.2109532_0.44.jpg,230HEBeansasmi,2025-04-06 14:05:50
1742395619.626098_0.37.jpg,eS,2025-04-06 14:05:50
1742395620.8644962_0.4.jpg,pein,2025-04-06 14:05:50
1742395621.0975316_0.4.jpg,pomlbns,2025-04-06 14:05:51
1742395621.2914348_0.51.jpg,meng,2025-04-06 14:05:51
1742395621.5211253_0.55.jpg,opr,2025-04-06 14:05:51
1742395621.824075_0.61.jpg,myegm,2025-04-06 14:05:52
1742395622.1617687_0.59.jpg,pint,2025-04-06 14:05:52
1742395622.1628091_0.39.jpg,TH23C6c209,2025-04-06 14:05:52
1742395622.7675328_0.38.jpg,EoD,2025-04-06 14:05:52
1742395623.0688996_0.54.jpg,pty,2025-04-06 14:05:53
1742395623.502491_0.42.jpg,Fredlaity,2025-04-06 14:05:53
1742395624.0647542_0.36.jpg,h23CRE3a5,2025-04-06 14:05:53
1742395624.4701061_0.55.jpg,TNe3tFF,2025-04-06 14:05:53
1742395625.748346_0.52.jpg,TN23Cijee209,2025-04-06 14:05:54
1742395630.644034_0.46.jpg,PeyaieziCiogsryY,2025-04-06 14:05:54
1742395633.298866_0.35.jpg,Wyatie23CT4o07F,2025-04-06 14:05:54
1742395633.7172685_0.52.jpg,Wyate23CTeagtyp,2025-04-06 14:05:54
1742395635.3663297_0.38.jpg,Nyathe23CTodai7ip,2025-04-06 14:05:55
1743928496.173398_0.44.jpg,230HEBeansasmi,2025-04-06 14:05:55
1743928497.068212_0.37.jpg,eS,2025-04-06 14:05:55
1743928499.6524045_0.4.jpg,pein,2025-04-06 14:05:55
1743928500.111744_0.4.jpg,pomlbns,2025-04-06 14:05:56
1743928500.5350618_0.51.jpg,meng,2025-04-06 14:05:56
1743928500.9779186_0.55.jpg,opr,2025-04-06 14:05:56
1743928501.618202_0.61.jpg,myegm,2025-04-06 14:05:57
1743928502.138893_0.59.jpg,pint,2025-04-06 14:05:57
1743928502.1547606_0.39.jpg,TH23C6c209,2025-04-06 14:05:57
1743928503.3308904_0.38.jpg,EoD,2025-04-06 14:05:57
1743928503.8635905_0.54.jpg,pty,2025-04-06 14:05:58
1743928504.6339173_0.42.jpg,Fredlaity,2025-04-06 14:05:58
1743928505.5673525_0.36.jpg,h23CRE3a5,2025-04-06 14:05:58
1743928506.388843_0.55.jpg,TNe3tFF,2025-04-06 14:05:58
1743928508.706101_0.52.jpg,TN23Cijee209,2025-04-06 14:05:59
1743928517.5984943_0.46.jpg,PeyaieziCiogsryY,2025-04-06 14:05:59
1743928522.307931_0.35.jpg,Wyatie23CT4o07F,2025-04-06 14:05:59
1743928523.1314106_0.52.jpg,Wyate23CTeagtyp,2025-04-06 14:05:59
1743928525.9635863_0.38.jpg,Nyathe23CTodai7ip,2025-04-06 14:06:00
2.png,TN37CF4902,2025-04-06 14:06:00
3.png,TN03MF4477,2025-04-06 14:06:00
4.png,TN22AT9066,2025-04-06 14:06:01
5.png,TN82Y8388,2025-04-06 14:06:01
